epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,98.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.1216,0.0080,0.1216,0.0080,0.4392,0.0080,0.4389
0.1111,96.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5711,0.0146,0.5711,0.0146,0.2144,0.0146,0.2152
0.2222,96.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8775,0.0114,0.8775,0.0114,0.0612,0.0114,0.0610
0.3333,95.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9904,0.0110,0.9904,0.0110,0.0061,0.0080,0.0060
0.4444,89.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,1.0139,0.0085,1.0139,0.0085,0.0073,0.0070,0.0082
0.5556,88.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8975,0.0183,0.8975,0.0183,0.0513,0.0183,0.0520
0.6667,88.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.7263,0.0247,0.7263,0.0247,0.1368,0.0247,0.1374
0.7778,89.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5441,0.0217,0.5441,0.0217,0.2280,0.0217,0.2263
0.8889,81.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.3344,0.0142,0.3344,0.0142,0.3328,0.0142,0.3342
1.0000,84.0000,38.1759,0.0000,38.0000,76.0000,0.0880,0.0000,5.0000,0.4000,0.1415,0.0057,0.1415,0.0057,0.4293,0.0057,0.4289
